City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,ullapool,57.8987,-5.1604,7.42,88,100,3.13,GB,1675430509
203,hluti,-27.2167,31.6167,26.94,67,59,2.28,SZ,1675430510
204,khasan,42.4308,130.6434,-7.75,83,39,0.64,RU,1675430510
205,nanortalik,60.1432,-45.2371,-9.99,81,95,7.11,GL,1675430510
206,georgetown,5.4112,100.3354,24.97,94,20,1.03,MY,1675429705
207,brae,60.3964,-1.353,6.72,60,100,5.48,GB,1675430511
208,yarim,14.298,44.3779,18.86,35,100,0.55,YE,1675430511
209,gat,31.61,34.7642,13.55,100,100,3.11,IL,1675430341
210,tura,25.5198,90.2201,17.48,49,0,0.9,IN,1675430512
211,pacific grove,36.6177,-121.9166,14.12,55,75,2.57,US,1675430512
212,ananindeua,-1.3656,-48.3722,27.95,78,40,5.14,BR,1675430513
213,fairbanks,64.8378,-147.7164,-14.02,82,100,0.0,US,1675430271
214,cururupu,-1.8283,-44.8683,28.26,71,65,2.53,BR,1675430513
215,nemuro,43.3236,145.575,-8.11,76,88,2.27,JP,1675430514
216,kununurra,-15.7667,128.7333,27.99,78,80,3.6,AU,1675430478
217,nivala,63.9167,24.9667,-8.51,95,70,2.19,FI,1675430514
218,thaba-tseka,-29.522,28.6084,21.38,40,46,5.94,LS,1675430515
219,kenai,60.5544,-151.2583,-2.7,97,100,0.0,US,1675430414
220,cidreira,-30.1811,-50.2056,23.82,88,100,2.38,BR,1675430515
221,port blair,11.6667,92.75,28.02,78,40,2.57,IN,1675430516
222,dwarka,22.2394,68.9678,23.82,35,3,3.32,IN,1675430516
223,tuktoyaktuk,69.4541,-133.0374,-34.74,96,70,2.85,CA,1675430299
224,tasiilaq,65.6145,-37.6368,-4.91,72,100,18.86,GL,1675430517
225,sao joao da barra,-21.6403,-41.0511,31.05,77,61,4.94,BR,1675430517
226,malakal,9.5334,31.6605,34.85,10,84,4.3,SS,1675430517
227,new norfolk,-42.7826,147.0587,15.72,54,100,2.24,AU,1675430518
228,vanavara,60.34,102.2797,-15.12,97,98,2.75,RU,1675430518
229,quchan,37.106,58.5095,4.97,57,18,3.53,IR,1675430519
230,fukue,32.6881,128.8419,8.7,58,97,7.12,JP,1675430519
231,antalaha,-14.9003,50.2788,28.46,74,48,5.55,MG,1675430315
232,walvis bay,-22.9575,14.5053,20.61,72,49,4.65,NA,1675430520
233,siedlce,52.1677,22.2901,0.52,67,100,5.28,PL,1675430520
234,tabuk,17.4189,121.4443,21.71,92,56,1.78,PH,1675430521
235,urumqi,43.801,87.6005,-12.47,85,100,1.0,CN,1675430521
236,olavarria,-36.8927,-60.3225,22.29,60,0,3.75,AR,1675430523
237,noumea,-22.2763,166.4572,26.99,86,81,3.64,NC,1675429996
238,provideniya,64.3833,-173.3,-20.58,91,34,5.36,RU,1675430269
239,jacareacanga,-6.2222,-57.7528,27.35,72,85,2.06,BR,1675430371
240,soyo,-6.1349,12.3689,29.9,73,60,6.06,AO,1675430527
241,chokwe,-24.5333,32.9833,34.31,37,45,4.38,MZ,1675430531
242,comodoro rivadavia,-45.8667,-67.5,27.92,23,0,6.17,AR,1675430529
243,ebetsu,43.1081,141.5506,-8.95,90,85,1.89,JP,1675430534
244,san cristobal,7.7669,-72.225,18.1,49,32,2.52,VE,1675430536
245,husavik,66.0449,-17.3389,0.59,86,100,5.4,IS,1675430539
246,kieta,-6.2167,155.6333,26.78,83,100,2.01,PG,1675430543
247,bukene,-4.2333,32.8833,24.64,64,100,3.0,TZ,1675430549
248,bambous virieux,-20.3428,57.7575,28.14,78,75,5.14,MU,1675430550
249,kirakira,-10.4544,161.9205,26.47,85,36,2.4,SB,1675430550
250,flinders,-34.5833,150.8552,19.1,48,0,2.6,AU,1675430551
